year,acs_period,geography_type,geography_id,geography_name,total_population,median_household_income
2009,2005-2009,Place,00320,Acres Green CDP,3233,78000
2010,2006-2010,Place,00320,Acres Green CDP,3117,81173
2011,2007-2011,Place,00320,Acres Green CDP,3165,83175
2012,2008-2012,Place,00320,Acres Green CDP,3301,85369
2013,2009-2013,Place,00320,Acres Green CDP,3179,86111
2014,2010-2014,Place,00320,Acres Green CDP,3035,84429
2015,2011-2015,Place,00320,Acres Green CDP,2921,84479
2016,2012-2016,Place,00320,Acres Green CDP,2926,84717
2017,2013-2017,Place,00320,Acres Green CDP,2824,85556
2018,2014-2018,Place,00320,Acres Green CDP,2899,98365
2019,2015-2019,Place,00320,Acres Green CDP,3100,99899
2020,2016-2020,Place,00320,Acres Green CDP,2888,102000
2021,2017-2021,Place,00320,Acres Green CDP,2732,97941
2022,2018-2022,Place,00320,Acres Green CDP,2627,124219
2023,2019-2023,Place,00320,Acres Green CDP,2709,115536
2024,2020-2024,Place,00320,Acres Green CDP,2639,142361
2010,2006-2010,Place,00620,Aetna Estates CDP,564,49417
2011,2007-2011,Place,00620,Aetna Estates CDP,658,39766
2012,2008-2012,Place,00620,Aetna Estates CDP,978,56696
2013,2009-2013,Place,00620,Aetna Estates CDP,814,59811
2014,2010-2014,Place,00620,Aetna Estates CDP,1031,55647
2015,2011-2015,Place,00620,Aetna Estates CDP,1165,55150
2016,2012-2016,Place,00620,Aetna Estates CDP,1366,47132
2017,2013-2017,Place,00620,Aetna Estates CDP,1352,46250
2018,2014-2018,Place,00620,Aetna Estates CDP,1475,42399
2019,2015-2019,Place,00620,Aetna Estates CDP,1398,44719
2020,2016-2020,Place,00620,Aetna Estates CDP,1231,53832
2021,2017-2021,Place,00620,Aetna Estates CDP,1255,56342
2022,2018-2022,Place,00620,Aetna Estates CDP,1194,60857
2023,2019-2023,Place,00620,Aetna Estates CDP,1177,63887
2024,2020-2024,Place,00620,Aetna Estates CDP,1010,74853
2009,2005-2009,Place,00760,Aguilar town,538,34079
2010,2006-2010,Place,00760,Aguilar town,466,35163
2011,2007-2011,Place,00760,Aguilar town,596,34181
2012,2008-2012,Place,00760,Aguilar town,562,34500
2013,2009-2013,Place,00760,Aguilar town,498,30682
2014,2010-2014,Place,00760,Aguilar town,563,34750
2015,2011-2015,Place,00760,Aguilar town,660,36701
2016,2012-2016,Place,00760,Aguilar town,491,36071
2017,2013-2017,Place,00760,Aguilar town,559,35673
2018,2014-2018,Place,00760,Aguilar town,485,36029
2019,2015-2019,Place,00760,Aguilar town,477,34875
2020,2016-2020,Place,00760,Aguilar town,492,24810
2021,2017-2021,Place,00760,Aguilar town,477,30156
2022,2018-2022,Place,00760,Aguilar town,456,27066
2023,2019-2023,Place,00760,Aguilar town,442,29593
2024,2020-2024,Place,00760,Aguilar town,401,28795
2009,2005-2009,Place,00870,Air Force Academy CDP,7451,70882
2010,2006-2010,Place,00870,Air Force Academy CDP,8257,67083
2011,2007-2011,Place,00870,Air Force Academy CDP,7240,67500
2012,2008-2012,Place,00870,Air Force Academy CDP,6816,80875
2013,2009-2013,Place,00870,Air Force Academy CDP,6362,76652
2014,2010-2014,Place,00870,Air Force Academy CDP,6046,68914
2015,2011-2015,Place,00870,Air Force Academy CDP,5864,65795
2016,2012-2016,Place,00870,Air Force Academy CDP,5957,71705
2017,2013-2017,Place,00870,Air Force Academy CDP,6098,70179
2018,2014-2018,Place,00870,Air Force Academy CDP,6633,67083
2019,2015-2019,Place,00870,Air Force Academy CDP,6512,78750
2020,2016-2020,Place,00870,Air Force Academy CDP,6368,75750
2021,2017-2021,Place,00870,Air Force Academy CDP,6170,72813
2022,2018-2022,Place,00870,Air Force Academy CDP,6665,79250
2023,2019-2023,Place,00870,Air Force Academy CDP,6701,93889
2024,2020-2024,Place,00870,Air Force Academy CDP,6727,69474
2009,2005-2009,Place,00925,Akron town,1610,32125
2010,2006-2010,Place,00925,Akron town,1691,31875
2011,2007-2011,Place,00925,Akron town,1756,39712
2012,2008-2012,Place,00925,Akron town,1791,40000
2013,2009-2013,Place,00925,Akron town,1838,41250
2014,2010-2014,Place,00925,Akron town,1906,38889
2015,2011-2015,Place,00925,Akron town,1903,40972
2016,2012-2016,Place,00925,Akron town,2003,41304
2017,2013-2017,Place,00925,Akron town,2116,42500
2018,2014-2018,Place,00925,Akron town,2083,39773
2019,2015-2019,Place,00925,Akron town,2046,46176
2020,2016-2020,Place,00925,Akron town,2073,42500
2021,2017-2021,Place,00925,Akron town,1793,41708
2022,2018-2022,Place,00925,Akron town,1675,52813
2023,2019-2023,Place,00925,Akron town,1681,59470
2024,2020-2024,Place,00925,Akron town,1722,57321
2009,2005-2009,Place,01145,Alamosa East CDP,1889,43712
2010,2006-2010,Place,01145,Alamosa East CDP,2031,38590
