ein,founding_year,ruling_date,name,city,state,zip,subsection,foundation_code,ntee_code,asset_amount,income_amount,revenue_amount,found_in_bmf
010532058,2002,200205,SIETAR USA,LAKEWOOD,CO,80227-1963,03,16,Q20,86604,32971,27511,Y
010558388,2004,200404,LINK A COMMUNITY ASSESMENT AND RESOURCE CENTER,AURORA,CO,80010-1266,03,15,O50,0,60,60,Y
010563501,2002,200211,THE E-PROJECT,AURORA,CO,80014-1715,03,15,A65,25583,24040,3470,Y
010595871,2002,200204,METROPLITAN STATE UNIVERSITY OF DENVER ALUMNI ASSOCIATION,DENVER,CO,80217-3362,04,00,B84,240477,595410,339044,Y
010599173,2004,200403,GLOBAL INITIATIVES FOUNDATION,DENVER,CO,80237-1627,03,16,P20,44964,24636,24636,Y
010599655,2003,200308,GOLDEN CHAMBER CHOIR,GOLDEN,CO,80402-6033,03,16,Z99,0,0,0,Y
010603904,,,,,,,,,,,,,N
010617179,2003,200305,FALL RIVER COMMUNICATIONS COUNSIL,LONGMONT,CO,80504-8760,03,16,B112,0,0,0,Y
010631470,2002,200209,GUNNISON VALLEY OBSERVATORY INC,GUNNISON,CO,81230-0762,03,15,A50,88889,19513,19389,Y
010632431,,,,,,,,,,,,,N
010633672,2003,200311,THE EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY,FORT COLLINS,CO,80524-2421,03,15,P99,964796,2901357,2901357,Y
010637788,,,,,,,,,,,,,N
010642365,2004,200403,COLORADO DRUG INVESTIGATORS ASSOCIATION,DENVER,CO,80231-5548,03,16,B60,84373,176684,176684,Y
010677365,2003,200301,ANGEL COVERS,BROOMFIELD,CO,80021-4823,03,16,P60,0,0,0,Y
010691751,1993,199311,CHERRY CREEK SCHOOL DISTRICT PARENT TEACHER COMMUNITY COUNCIL INC,AURORA,CO,80015-6751,03,16,,0,0,0,Y
010724451,2002,200209,ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC,ASPEN,CO,81612-9720,03,17,C113,13326718,3696209,919119,Y
010726882,2003,200301,CAMBODIAN CHRISTIAN ARTS MINISTRY INC,LOVELAND,CO,80539-2918,03,15,X99,5140,40666,40666,Y
010745483,2006,200609,DOROTHYS SOFT TOUCH CORP,AURORA,CO,80011-6424,03,15,B99,18881,1078314,1078314,Y
010756141,,,,,,,,,,,,,N
010772839,2006,200605,HOMES OF HOPE INC,WRAY,CO,80758-9720,03,15,P45,79783,113929,113929,Y
010785524,2003,200312,WORLD HISTORY CONNECTED THE JOURNAL OF LEARNING AND TEACHING,SNOWMASS VLG,CO,81615-6272,03,15,A33,0,0,0,Y
010790158,2016,201607,TEAMS IN ACTION,DENVER,CO,80231-3916,03,16,W70,10685,111586,111586,Y
010797012,2007,200706,MEAN STREET MINISTRY,LAKEWOOD,CO,80215-2606,03,15,T50,497443,851503,851503,Y
010803956,2005,200504,SHEPHERDS HEART MINISTRY,PARKER,CO,80134-1454,03,15,X20,302487,505416,478192,Y
010814316,2006,200601,SILVER CREEK ORGANIZATION FOR PERFORMING ARTS,LONGMONT,CO,80503-6001,03,16,A60,83771,190264,83079,Y
010830997,,,,,,,,,,,,,N
010833397,,,,,,,,,,,,,N
010840239,2005,200508,NAVAL ORDER OF THE UNITED STATES FOUNDATION,LARKSPUR,CO,80118-8439,03,15,W193,192277,18920,18920,Y
010842036,2007,200709,LUTHERAN FAMILY SERVICES OF COLORADO FOUNDATION INC,DENVER,CO,80204-4209,03,17,X112,3243833,1164374,63054,Y
010857259,2007,200703,UPPER ARKANSAS REGIONAL SERVICE COUNCIL,CANON CITY,CO,81212-6314,03,15,P20,750,590,590,Y
010859843,2008,200805,NATIONAL MUSEUM OF WORLD WAR II AVIATION INC,COLORADO SPGS,CO,80916-2740,03,16,A50,11005621,2309835,2197871,Y
010869244,2022,202205,LA ROCA ETERNA,LONGMONT,CO,80501-4324,03,10,X20,568,21311,21311,Y
010884285,2007,200704,CATS LEAGUE AND ASSISTANCE OF THE WESTERN SLOPE,LOMA,CO,81524-9604,03,15,D20,695590,345031,345031,Y
010891649,2010,201010,COLORADO JAPANESE SCHOOL,CENTENNIAL,CO,80112-3814,03,11,B20,107108,211692,211692,Y
010892003,2014,201402,ENDERTA REGIONAL DEVELOPMENT ASSOCIATION NONPROFIT,AURORA,CO,80042-1706,03,15,B90,0,0,0,Y
010918841,2009,200904,CANYON CARES OF COAL CREEK CANYON,GOLDEN,CO,80403-0103,03,16,P122,201141,138855,138855,Y
010927168,,,,,,,,,,,,,N
010934525,2010,201005,ADVENTURE WITH A PURPOSE,COLORADO SPGS,CO,80907-7426,03,15,X99,46622,119723,119723,Y
010946060,,,,,,,,,,,,,N
010948255,,,,,,,,,,,,,N
010951001,1968,196808,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,168135,420637,420637,Y
010959251,2015,201504,HI MOM I AM HOME AGENCY,AURORA,CO,80014-0000,03,15,P30,0,0,0,Y
010967873,2013,201310,VILLAGE HEALTH PARTNERSHIP,DENVER,CO,80247-6812,03,15,E40,658601,425650,375862,Y
010974517,2016,201611,VALLECITO CONSERVATION AND SPORTING ASSOCIATION,BAYFIELD,CO,81122-8714,04,00,N67,368812,617865,575690,Y
010976638,2011,201109,ALLIANCE,DENVER,CO,80203-1855,03,16,P99,547183,961546,961546,Y
020395029,1968,196808,ALPHA PHI INTERNATIONAL FRATERNITY INC,DENVER,CO,80210-4207,07,00,,180858,959449,959449,Y
020492240,1997,199704,ENKI EDUCATION INCORPORATED,LYONS,CO,80540-2511,03,16,B99,1447,65440,0,Y
020501763,,,,,,,,,,,,,N
020530982,2002,200207,UNITARIAN UNIVERSALIST MNISTRY FOR EARTH,DENVER,CO,80222-7262,03,16,P99,114787,83739,83739,Y
020533922,2002,200210,COLORADO VIPER CLUB,LITTLETON,CO,80127-9741,07,00,N50,0,0,0,Y
020586719,,,,,,,,,,,,,N
020592604,2003,200310,HIGH PLAINS LAND CONSERVANCY,HOLYOKE,CO,80734-0305,03,15,,1883119,579608,579608,Y
020617918,2000,200011,DESIGN-BUILD INSTITUTE OF AMERICA,DENVER,CO,80209-0000,06,00,,79005,233746,233746,Y
020621786,,,,,,,,,,,,,N
020624253,,,,,,,,,,,,,N
020626006,,,,,,,,,,,,,N
020653364,,,,,,,,,,,,,N
020655254,2012,201212,DUBLIN MANOR INC,DENVER,CO,80202-4929,03,16,,1664911,320209,320209,Y
020657688,2003,200304,COLORADO AGRICULTURAL LEADERSHIP FOUNDATION INC,CASTLE ROCK,CO,80104-0581,03,15,B99,2686137,488802,435088,Y
020666382,2012,201205,4 THE CHILDREN,DURANGO,CO,81301-8530,03,15,I80,171149,308102,308102,Y
020673474,2003,200309,DEVELOPMENTAL FX-THE DEVELOPMENTAL & FRAGILE X RESOURCE CENTRE,DENVER,CO,80205-4976,03,16,G80,1817432,2136522,2105062,Y
020674008,,,,,,,,,,,,,N
020674017,,,,,,,,,,,,,N
020676746,2003,200312,SOUTHERN COLORADO RETAC INC,PUEBLO,CO,81008-9271,03,15,E02,229338,284058,284058,Y
020678151,2003,200304,XI PI CHAPTER-OMEGA PSI PHI FRATERNITY UPLIFT FOUNDATION INC,COLORADO SPGS,CO,80906-8634,03,15,B82,98343,106828,74475,Y
020700384,2003,200311,GRASSROOTS ASIA,SOMERSET,CO,81434-0560,03,15,Q33,0,0,0,Y
020703033,2003,200312,C B AVALANCHE CENTER INC,CRESTED BUTTE,CO,81224-2351,03,15,M20,243683,247548,227426,Y
020715210,,,,,,,,,,,,,N
020718999,,,,,,,,,,,,,N
020732220,2005,200505,COLORADO ALLIANCE FOR HEALTH EQUITY AND PRACTICE,DENVER,CO,80246-1450,03,15,E70,2062885,1118982,1118982,Y
020741344,,,,,,,,,,,,,N
020744032,2005,200509,TRANSPLANT FOUNDATION INC,DENVER,CO,80202-5402,03,15,E60,758795,233572,233547,Y
020746614,2006,200602,GLOBAL ORPHAN RELIEF,PARKER,CO,80134-3050,03,15,Q33,63388,388978,335607,Y
020755251,2006,200608,CENTER OF HOPE,LAKEWOOD,CO,80226-4836,03,15,P40,124853,73411,73411,Y
020758897,2006,200605,COLORADO CIVIC ENGAGEMENT ROUNDTABLE,DENVER,CO,80201-1620,03,15,R26,1359731,1178143,1178143,Y
020770575,,,,,,,,,,,,,N
020799039,,,,,,,,,,,,,N
020804773,2008,200806,DENVER CITY LAX,DENVER,CO,80206-3107,03,15,N40,534737,748290,689768,Y
030340816,1995,199509,NORTH AMERICAN HAZARDOUS MATERIALS MANAGEMENT ASSOCIATION,WESTMINSTER,CO,80234-2052,03,15,C032,302862,389122,388071,Y
030385844,2002,200208,COLORADO FEDERATION OF ANIMAL WELFARE AGENCIES,DENVER,CO,80222-7678,03,16,D03,427889,229483,229483,Y
030390058,2002,200209,BALLET RENAISSANCE,ESTES PARK,CO,80517-3768,03,15,A26,0,0,0,Y
030390533,,,,,,,,,,,,,N
030403996,2002,200207,FRIENDS OF CHEYENNE MOUNTAIN STATE PARK,COLORADO SPRINGS,CO,80926-0000,03,15,N32,120520,65212,53987,Y
030410639,2012,201203,EAGLE SENIOR VILLAGE INC,DENVER,CO,80202-4929,03,16,,784695,203266,203266,Y
030412235,2002,200210,CENTRO HUMANITARIO PARA LOS TRABAJADORES,DENVER,CO,80201-3190,03,15,,2428290,1624566,1624566,Y
030417503,,,,,,,,,,,,,N
030440169,,,,,,,,,,,,,N
030442292,2002,200209,SPIRIT OF THE SUN INC,DENVER,CO,80218-2515,03,15,,636754,854282,854282,Y
030443003,2002,200207,AIR RACE CLASSIC INC,FORT COLLINS,CO,80524-3312,03,16,N70,290877,152530,150846,Y
030444982,2004,200404,STAPLETON DESIGN INC,DENVER,CO,80238-2722,04,00,S41,152794,76391,76391,Y
030461106,2014,201412,FREE HORIZON MONTESSORI FOUNDATION,GOLDEN,CO,80401-3708,03,16,B12,101888,26952,26876,Y
030474314,2004,200401,POCKET FLAG PROJECT INC,ARVADA,CO,80003-2850,03,15,A80,0,0,0,Y
030489131,2003,200307,JEFF ARMSTRONG MEMORIAL FOUNDATION,YUMA,CO,80759-9309,03,15,N40,801946,130099,127949,Y
030490907,2003,200305,SIMMONS & ASSOCIATES EDUCATIONAL FUND INC,COLORADO SPGS,CO,80917-5819,06,00,D03,421370,128717,128717,Y
030506094,2005,200505,AMAZING LOVE MISSIONS INC,COLORADO SPGS,CO,80949-9635,03,15,X99,46706,317070,317070,Y
030515223,2004,200404,MULTI CULTURAL MOSIAC FOUNDATION,AURORA,CO,80014-1432,03,15,A23,852730,121790,121790,Y
030535520,1991,199108,FRATERNAL ORDER OF EAGLES,PUEBLO WEST,CO,81007-0556,10,00,,684098,1409817,594986,Y
030572403,2010,201006,SNOWBOARDERS & SKIERS FOR CHRIST,DILLON,CO,80435-2080,03,15,X21,181441,467178,467178,Y
030611680,,,,,,,,,,,,,N
041404345,2005,200507,PUEBLO COMMUNITY HEALTH CENTER FOUNDATION INC,PUEBLO,CO,81004-2117,03,16,E11,1533920,249508,228799,Y
042760267,1997,199711,SOCIETY OF AMERICAN MAGICIANS,DENVER,CO,80231-5959,10,00,,248579,277187,277187,Y
042790740,1984,198412,UNITED STATES PUBLIC INTEREST RESEARCH GROUP INC,DENVER,CO,80202-1450,04,00,,7052150,6525940,6525940,Y
042863355,,,,,,,,,,,,,N
042864296,1991,199108,CENTER FOR PSYCHOLOGY AND SOCIAL CHANGE INC,BOULDER,CO,80306-0909,03,15,,0,0,0,Y
042900272,1993,199305,AMERCIAN CHEESE SOCIETY INC,CENTENNIAL,CO,80112-3891,06,00,K99Z,1422439,1710264,1710264,Y
042957188,,,,,,,,,,,,,N
043002588,1988,198802,MEDIATORS FOUNDATION INC,BOULDER,CO,80302-6746,03,16,Q41Z,977450,3517767,3517767,Y
043116623,1991,199110,ICLEI LOCAL GOVERNMENTS FOR SUSTAINABILITY USA INC,DENVER,CO,80202-1379,03,15,C010,3058286,2739054,2739054,Y
043118157,1990,199004,AMERICAN ASSOCIATION FOR EMERGENCY PSYCHIATRY,CENTENNIAL,CO,80112-3891,03,16,,445364,258305,258305,Y
043249629,0,000000,GREEN CORPS CAMPAIGNS INC,DENVER,CO,80202-1465,04,00,,76619,3625,3625,Y
043457552,2000,200005,THE I AM FOUNDATION,BOULDER,CO,80301-3333,03,15,B99,0,0,0,Y
043493500,,,,,,,,,,,,,N
043590471,,,,,,,,,,,,,N
