EIN,Legal_Name,DBA,Address,City,State,ZIP,Country,Exemption_Type,Revocation_Date,Posting_Date,Reinstatement_Date
010345336,PARTISAN PROHIBITION HISTORICAL,,PO BOX 2635,DENVER,CO,80201-2635,US,04,15-MAY-2010,09-JUN-2011,
010515671,BLUE KNIGHTS MOTORCYCLE CLUB,CO VII TAYLOR,PO BOX 2248,DURANGO,CO,81302-2248,US,10,15-MAY-2010,09-JUN-2011,
010576951,GOOD NEWS FOR ALL NATIONS INC ,,647 RIDGEMONT CIR,HGHLNDS RANCH,CO,80126-5502,US,03,15-MAY-2024,12-AUG-2024,
010590481,CORPORATION FOR COMMUNITY CHRISTIAN,,10345 UTE HWY,LONGMONT,CO,80504-9737,US,03,15-NOV-2012,11-MAR-2013,
010622923,NYEPON 4U MINISTRIES,RICK REGALADO,11884 QUAM DR,NORTHGLENN,CO,80233-1235,US,03,15-MAY-2010,09-JUN-2011,
010629094,HEARTS FOR HUMANITY,,5788 S KENTON ST,CENTENNIAL,CO,80111-3941,US,03,15-MAY-2010,09-JUN-2011,
010630640,INTERNATIONAL SPORTS DEVELOPMENT,,PO BOX 60871,COLORADO SPGS,CO,80960-0871,US,03,15-MAY-2010,09-JUN-2011,
010637788,BOULDER CREEK EVENTS ,,2581 PARK LN,LAFAYETTE,CO,80026-3172,US,04,15-NOV-2023,09-JUL-2024,
010641004,FRIENDS OF BOULDER FIRE-RESCUE ,,4810 RIVERBEND ROAD,BOULDER,CO,80301-2643,US,03,15-MAY-2025,12-AUG-2025,
010646734,SPI VENTURES,,3200 LARIMER ST,DENVER,CO,80205-2314,US,03,15-NOV-2011,09-JUL-2012,
010656188,BOOKS FOR LIFE FOUNDATION INC,,PO BOX CC,ASPEN,CO,81612-7430,US,03,15-AUG-2010,09-JUN-2011,
010663034,HEALING PRESENCE MINISTRIES,,2783 WHITETAIL CIR,LAFAYETTE,CO,80026-7000,US,03,15-MAY-2010,09-JUN-2011,
010663760,ROCKY MOUNTAIN SYNCHRONIZED SWIMMING,,3190 DOVER DR,BOULDER,CO,80305-5312,US,03,15-FEB-2020,11-MAY-2020,15-AUG-2022
010686331,DENVER AREA HEALTHCARE RECRUITERS ASSOCIATION,,PO BOX 4832,GREENWOOD VLG,CO,80155-4832,US,00,15-MAY-2017,10-JUL-2018,
010689177,ANIMAL SANCTUARY FOUNDATION,,247 COOK ST,DENVER,CO,80206-5304,US,03,15-MAY-2010,09-JUN-2011,
010690594,EGBA-YEWA DESCENDANTS UNION IN COLORADO INC,,22759 E PRENTICE PL,AURORA,CO,80015-6545,US,03,15-MAY-2018,13-AUG-2018,15-MAY-2018
010692911,REDEEMING GRACE MINISTRIES INC,,1865 BROOKDALE DR,COLORADO SPGS,CO,80918-3411,US,00,15-SEP-2010,13-JUL-2011,
010696918,CROSS MY HEART RANCH,,880 S RD,MACK,CO,81525-9785,US,00,15-MAY-2010,09-JUN-2011,
010715588,DOLORES CLUBHOUSE,,PO BOX 1196,DOLORES,CO,81323-1196,US,03,15-MAY-2010,09-JUN-2011,
010724242,FRIENDS OF THE MANITOU PUBLIC LIBRARY,,PO BOX 865,MANITOU SPGS,CO,80829-0865,US,03,15-MAY-2014,11-AUG-2014,
010726376,FUND FOR A PROSPEROUS COLORADO,,3403 W HAYWARD PL,DENVER,CO,80211-3625,US,04,15-MAY-2010,09-JUN-2011,
010731023,COLORADO GOLF COURSE OWNERS,,6432 GRAND TREE BLVD,TIMNATH,CO,80547-2339,US,06,15-MAY-2012,11-FEB-2013,
010733082,COLORADO YOUTH HOCKEY ASSOCIATION,,4250 AUTUMN HEIGHTS DR,COLORADO SPGS,CO,80906-5919,US,03,15-MAY-2010,09-JUN-2011,
010737836,DEBEQUE WILD HORSE COUNCIL,,PO BOX 147,DEBEQUE,CO,81630-0147,US,03,15-MAY-2013,12-AUG-2013,
010746004,NEW URBAN PERSPECTIVE INC,,4860 CHAMBERS RD APT 173,DENVER,CO,80239-5152,US,03,15-MAY-2010,09-JUN-2011,
010751556,FEET FIRST EDUCATIONAL OUTREACH INC,,1187 MAPLE DR,BROOMFIELD,CO,80020-1052,US,03,15-MAY-2010,09-JUN-2011,
010756141,CHRISTIAN YOUTH THEATER DENVER INC ,CYT DENVER,9457 S UNIVERSITY BLVD 239,HIGHLANDS RANCH,CO,80126-4976,US,03,15-MAY-2018,13-AUG-2018,
010780385,COLORADO 4-H FOUNDATION INC ,ROOSEVELT CWF,525 N 15TH AVE,GREELEY,CO,80631-2064,US,03,15-NOV-2022,13-DEC-2023,
010787064,ONE FREEDOM INC ,,PO BOX 7456,BOULDER,CO,80306-7456,US,03,15-MAY-2024,12-AUG-2024,
010790158,TEAMS IN ACTION ,LEADING IN COMMUNITY,2525 S DAYTON WAY UNIT 1707,DENVER,CO,80231-0000,US,03,15-MAY-2010,05-AUG-2016,15-JUL-2016
010792690,J R PROJECT INC,,768 S FAIRPLAY CT,AURORA,CO,80012-3767,US,03,15-MAY-2013,12-AUG-2013,
010795496,HEART OF THE SHEPHERD MINISTRIES,,1695 S STEELE ST,DENVER,CO,80210-0000,US,03,15-MAY-2012,11-FEB-2013,
010805994,PONDEROSA ICE HOCKEY CLUB,,5898 ANGIE CT,PARKER,CO,80134-5700,US,07,15-JAN-2012,11-MAR-2013,15-JAN-2012
010811113,WAREHOUSE PLAYHOUSE COMMUNITY,,PO BOX 584,PAONIA,CO,81428-0584,US,03,15-MAY-2010,09-JUN-2011,
010822592,LETIP OF SOUTHWEST COLORADO ,,10493 W PATTERSON PL,LITTLETON,CO,80127-2004,US,07,15-MAY-2021,14-MAR-2022,
010825926,ALMIGHTY GODS KINGDOM BUILDERS INC,,1785 ZEBULON DR APT B,COLORADO SPGS,CO,80910-1687,US,00,15-MAY-2012,08-JUL-2013,
010833397,GLOBAL REFUGE INTERNATIONAL ,,PO BOX 21345,DENVER,CO,80221-0345,US,03,15-MAY-2024,12-AUG-2024,
010842107,RAMS YOUTH BASEBALL & FOOTBALL,,16136 E EXPOSITION DR,AURORA,CO,80017-2116,US,03,15-NOV-2011,10-DEC-2012,
010853140,ROCKY MOUNTAIN MINORITY CONTRACTORS ASSOCIATION,,PO BOX 20133,AURORA,CO,80012-0000,US,03,15-MAY-2015,10-AUG-2015,
010892003,ENDERTA REGIONAL DEVELOPMENT,,PO BOX 111706,AURORA,CO,80042-1706,US,03,15-MAY-2011,13-AUG-2012,15-MAY-2011
010907448,UNITED STATES VETERANS RIDING CLUB ,USBRC,245 W CRAWFORD AVE,KEENESBURG,CO,80643-9038,US,03,15-MAY-2017,16-AUG-2017,15-MAY-2017
010908884,FALCON GROUND SPEED FOUNDATION ,,588 SABER CREEK DR,MONUMENT,CO,80132-6055,US,03,15-MAY-2015,10-AUG-2015,
010913061,NINETEENTH SQUADRON FUND USAF,,PO 4054,USAF ACADEMY,CO,80841-0000,US,07,15-MAY-2011,22-FEB-2012,
010915181,INTERNATIONAL SERVICE LEARNING,,1317 W MOUNTAIN AVE,FORT COLLINS,CO,80521-2303,US,03,15-MAY-2011,13-AUG-2012,
010915710,PASS IT ON,,6369 S LOCUST WAY,CENTENNIAL,CO,80111-4320,US,00,15-MAY-2011,09-APR-2012,
010922121,LIFE CENTER TRAINING PROGRAM ,,PO BOX 26115,COLORADO SPGS,CO,80936-6115,US,03,15-MAY-2014,11-AUG-2014,
010927168,LIBERTY ON THE ROCKS ,,4696 S SIMMS CT,MORRISON,CO,80465-9677,US,03,15-MAY-2025,12-AUG-2025,
010932393,CHRIST THE KING RADIO MINISTRIES,,PO BOX 200933,DENVER,CO,80220-0933,US,03,15-MAY-2012,11-MAR-2013,15-MAY-2012
010933776,HELP THY NEIGHBOR INC ,,202 NEWARK ST,AURORA,CO,80010-4720,US,03,15-MAY-2010,17-JUN-2014,15-MAY-2010
010935215,NEHEMIAH GLOBAL FOUNDATION ,,3220 S ONEIDA WAY,DENVER,CO,80224-2830,US,03,15-MAY-2023,14-AUG-2023,
010945462,COLORADO ADVISORY COUNCIL ON MILITARY EDUCATION,,1125 KELLY JOHNSON BLVD SUITE 105,COLORADO SPRINGS,CO,80920-0000,US,03,15-MAY-2012,11-SEP-2018,15-AUG-2018
010945665,MERCY WINGS NETWORK ,,PO BOX 3716,EVERGREEN,CO,80437-3716,US,03,15-MAY-2019,12-AUG-2019,
010948255,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,5280 HOOPS BASKETBALL CLUB,931 BEACON HILL DR,HGHLNDS RANCH,CO,80126-4811,US,03,15-JAN-2022,11-APR-2022,
010964534,GOOD NEWS INC,,4798 S ROUTT CT,LITTLETON,CO,80127-1087,US,03,15-MAY-2013,12-AUG-2013,15-MAY-2013
010966201,STERLING MIRACLE PLAYERS ,,117 HIGHLAND DR,STERLING,CO,80751-8666,US,03,15-MAY-2016,08-AUG-2016,15-MAY-2024
010968204,ON LAUGHTERED SILVERED WINGS INC,,17905 E CASPIAN PL,AURORA,CO,80013-5905,US,03,15-MAY-2013,21-OCT-2013,
010970179,NAIFA ARKANSAS VALLEY ASSOCIATION ,,PO BOX 671,LAMAR,CO,81052-0671,US,06,15-MAY-2014,11-AUG-2014,
010974517,VALLECITO CONSERVATION AND SPORTING,,PO BOX 829,BAYFIELD,CO,81122-0829,US,04,15-MAY-2013,12-AUG-2013,15-AUG-2016
016186086,RANDOLPH FAMILY FOUNDATION ,RANDOLPH MICHAEL J TTEE,1909 S KIPLING ST APT A,LAKEWOOD,CO,80227-2149,US,03,15-MAY-2015,10-AUG-2015,
016706325,CREEK INDIANS GIRLS LACROSSE,,3763 S ELM ST,DENVER,CO,80237-1006,US,03,15-NOV-2010,07-OCT-2011,
020549396,GONDAR REGION DEVELOPMENT OF,,9085 E MISSISSIPPI AVE STE F-202,DENVER,CO,80247-6838,US,03,15-MAY-2010,09-JUN-2011,
020566281,PROJECT BGAN,,10746 E DORADO AVE,ENGLEWOOD,CO,80111-3922,US,03,15-MAY-2010,09-JUN-2011,
020584975,ABILITY CONSULTANTS ,,419 SOUTH CEDAR STREET,CORTEZ,CO,81321-3462,US,03,15-MAY-2025,12-AUG-2025,
020586719,COLORADO COLLABORATIVE FAMILY LAW PROFESSIONALS,,1900 GRANT STREET,DENVER,CO,80203-4301,US,03,15-MAY-2022,08-AUG-2022,
020621786,ROCKY MOUNTAIN WORKFORCE DEVELOPMENT ASSOCIATION INC,,308 SANTA FE AVE,LA JUNTA,CO,81050-0000,US,04,15-NOV-2024,15-JUL-2025,
020624253,GLOBAL HUMANITARIAN EXPEDITIONS ,GLOBAL DENTAL EXPEDITIONS,602 S OGDEN ST,DENVER,CO,80209-4420,US,03,15-MAY-2017,16-AUG-2017,
020625245,GLOBAL DIVERSITY ALLIANCE INC,,1160 ONEIDA ST,DENVER,CO,80220-4800,US,03,15-MAY-2012,11-FEB-2013,
020633995,LITTLE PINE CONE COMMUNITY THEATRE,,6100 HWY 40,GRANBY,CO,80446-0000,US,03,15-MAY-2010,09-JUN-2011,
020634705,FAMILY AND CHILD INTERVENTIONS,,265 S HARLAN ST,LAKEWOOD,CO,80226-2261,US,03,15-MAY-2010,09-JUN-2011,
